                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.43997,                0.70266,                0.31267,                 0.7982,                0.83429,                0.81163,                0.80639,                0.69779,                0.80633,                0.76792,                0.77628,                0.53258,                0.41743,                0.67087,                0.31052,                0.79613,             0.00022274,             0.00022274,             0.00022274
                     77,                 0.4474,                0.71631,                0.31556,                 0.7991,                0.87309,                0.78737,                0.80908,                 0.7046,                0.81797,                0.77252,                0.78919,                 0.5466,                0.39419,                0.67735,                0.30633,                0.79423,              0.0002145,              0.0002145,              0.0002145
                     78,                0.45164,                0.70802,                0.31508,                0.79502,                0.84319,                0.79625,                 0.8043,                0.70252,                0.82501,                0.78555,                0.79602,                 0.5526,                0.39269,                0.67412,                0.30668,                0.79361,             0.00020625,             0.00020625,             0.00020625
                     79,                 0.4446,                 0.7111,                0.31106,                0.79763,                 0.8603,                0.81133,                0.80858,                0.70454,                0.84749,                0.78606,                0.80346,                0.54902,                  0.399,                0.69244,                0.30291,                0.79381,               0.000198,               0.000198,               0.000198
                     80,                0.44492,                0.71381,                0.30954,                0.79799,                0.85236,                0.80922,                0.80816,                0.70863,                0.82337,                0.79532,                0.79632,                0.55914,                0.38655,                0.66388,                0.29701,                 0.7937,             0.00018976,             0.00018976,             0.00018976
                     81,                0.44667,                0.71397,                0.30925,                0.79819,                0.85057,                0.80727,                0.80532,                0.70486,                0.82917,                0.77591,                0.78137,                0.55637,                0.39292,                0.65273,                0.29738,                0.79184,             0.00018151,             0.00018151,             0.00018151
                     82,                0.42472,                0.67789,                0.30375,                0.79622,                0.82595,                0.80786,                0.80338,                0.70887,                0.84362,                0.78118,                0.79041,                0.55425,                0.39734,                0.65762,                 0.2905,                0.79112,             0.00017326,             0.00017326,             0.00017326
                     83,                0.42661,                0.68301,                0.30211,                 0.7962,                0.81363,                0.81264,                0.80366,                 0.7073,                0.82564,                 0.7827,                0.78492,                0.55032,                0.38816,                0.66038,                0.29317,                0.79201,             0.00016502,             0.00016502,             0.00016502
                     84,                0.42545,                 0.6611,                0.30003,                0.79432,                0.86126,                0.81112,                0.81338,                0.70271,                0.78788,                0.79398,                0.78963,                 0.5351,                0.39469,                0.62164,                0.28842,                0.79262,             0.00015677,             0.00015677,             0.00015677
                     85,                0.42317,                0.67378,                0.29902,                0.79511,                0.87346,                0.80491,                 0.8147,                0.70722,                 0.8054,                 0.8061,                0.79649,                0.56035,                0.38043,                0.61006,                0.28607,                0.79035,             0.00014852,             0.00014852,             0.00014852
                     86,                0.41235,                0.65137,                0.29465,                0.79311,                0.85392,                0.80653,                0.81431,                0.71246,                0.84489,                0.81139,                0.80499,                0.54069,                0.38445,                 0.6232,                0.28597,                0.79023,             0.00014028,             0.00014028,             0.00014028
                     87,                0.41513,                0.66907,                0.29386,                 0.7939,                0.82262,                0.81417,                0.81147,                0.71222,                0.81834,                0.80529,                0.79685,                0.56039,                0.37902,                0.63059,                0.28657,                0.78976,             0.00013203,             0.00013203,             0.00013203
                     88,                0.43535,                0.68606,                0.30328,                0.79517,                0.87728,                0.81842,                0.82514,                0.71786,                0.81201,                0.80346,                 0.7924,                0.55257,                0.37197,                 0.6521,                0.28046,                0.78953,             0.00012378,             0.00012378,             0.00012378
                     89,                0.40363,                0.66084,                0.29138,                0.79393,                0.86018,                0.82108,                0.81408,                0.72213,                0.82491,                0.79638,                0.78832,                0.55764,                0.36894,                0.66342,                0.28204,                0.78889,             0.00011554,             0.00011554,             0.00011554
                     90,                0.41436,                0.66033,                0.29314,                0.79566,                0.84461,                 0.8218,                0.81872,                 0.7215,                0.84916,                0.78518,                0.79163,                0.56218,                0.37292,                0.62118,                 0.2823,                   0.79,             0.00010729,             0.00010729,             0.00010729
                     91,                  0.397,                0.65975,                0.29142,                0.78651,                0.83938,                0.80808,                0.81666,                0.71077,                0.82979,                 0.7952,                0.79506,                  0.564,                0.38141,                0.70835,                0.28893,                0.79106,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     92,                0.38971,                0.64353,                0.28552,                0.78766,                0.88025,                0.79859,                0.82249,                0.71271,                0.83075,                 0.7781,                 0.7905,                0.55205,                0.38149,                0.68977,                0.28564,                0.79141,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     93,                0.39518,                0.65062,                0.28584,                0.78892,                0.84583,                0.81764,                0.82086,                0.71162,                0.78957,                0.77715,                0.77396,                0.54805,                0.38935,                0.65743,                0.28751,                0.79057,              8.255e-05,              8.255e-05,              8.255e-05
                     94,                0.37437,                0.61442,                0.27697,                0.78526,                0.83773,                0.82205,                0.82328,                0.71164,                0.78962,                0.77203,                0.76899,                0.54265,                0.38189,                0.67526,                0.28545,                0.79021,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     95,                0.37426,                0.61352,                 0.2769,                0.78552,                0.84223,                0.80895,                0.82002,                0.71332,                0.79852,                0.77867,                0.77689,                0.54743,                0.37461,                0.66478,                0.28114,                0.78934,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     96,                0.37128,                0.60882,                0.27559,                0.78802,                0.84324,                0.80482,                0.81644,                0.71132,                0.81693,                0.78057,                0.78224,                0.54886,                0.38601,                 0.6375,                0.28412,                0.79019,              5.781e-05,              5.781e-05,              5.781e-05
                     97,                0.37876,                 0.6235,                0.27657,                0.78276,                0.83964,                 0.8108,                0.81493,                0.71125,                0.82902,                  0.785,                0.78636,                0.54631,                0.37643,                0.65011,                0.28015,                0.79047,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     98,                0.35086,                0.59059,                0.26536,                0.78456,                0.83791,                0.82394,                0.81438,                0.71433,                0.82355,                0.78351,                0.78445,                0.54474,                0.37213,                0.66262,                0.28019,                0.79041,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     99,                0.35982,                0.58376,                 0.2676,                 0.7838,                0.83512,                 0.8219,                0.81329,                0.71171,                0.82503,                0.78487,                0.78386,                0.54294,                0.37148,                0.66242,                 0.2774,                0.79017,              3.307e-05,              3.307e-05,              3.307e-05
                    100,                0.34704,                 0.5947,                0.26407,                0.78358,                0.84713,                0.82206,                0.81574,                0.71238,                0.81971,                0.78693,                0.78438,                0.54938,                0.36693,                0.63091,                0.27542,                0.78954,             2.4823e-05,             2.4823e-05,             2.4823e-05
